project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction of Slope Protection Structure along Basak Section, Badian, Cebu",CEBU,QM BUILDERS,"48,996,091.75","48,996,091.75",03/23/2022,01/29/2023,Region VII,22HO0056,QM BUILDERS,CEBU
"Construction of Flood Control Structure along Carriedo Bridge (Upstream), Phase I, Carriedo, Gubat, Sorsogon",SORSOGON,MUNTOPAR BUILDERS CORP.,"67,550,000.00","67,550,000.00",03/18/2022,01/29/2023,Region V,22FL0040,MUNTOPAR BUILDERS CORP.,SORSOGON
"Construction of River Protection Structure along Salog River, Bacacay, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"95,535,000.00","95,535,000.00",06/03/2022,01/29/2023,Region V,22FA0067,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,ALBAY
"Construction of Shore Protection at Alimsog Buhatan, Sto. Domingo, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / KENZAI BUILDERS CORPORATION,"94,570,000.00","94,570,000.00",08/03/2022,01/29/2023,Region V,22FA0078,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / KENZAI BUILDERS CORPORATION,ALBAY
"Construction of Drainage Structure (Line Canal with Cover), Brgy. 1, Barangay I - Poblacion, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"4,900,000.00","4,900,000.00",08/05/2022,01/29/2023,Region V,22FA0045,3DIAMONDS CONSTRUCTION CORPORATION,ALBAY
"Construction of Drainage Structure (Line Canal with Cover), Brgy. 3, Barangay III - Poblacion, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"4,900,000.00","4,900,000.00",08/05/2022,01/29/2023,Region V,22FA0045,3DIAMONDS CONSTRUCTION CORPORATION,ALBAY
"Construction of Flood Control at Barangay Calbayog and Barangay San Roque, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"44,100,000.00","44,100,000.00",08/05/2022,01/29/2023,Region V,22FA0045,3DIAMONDS CONSTRUCTION CORPORATION,ALBAY
"Drainage Rehabilitation, General Ricarte St., Brgy. San Juan, Cainta, Rizal",RIZAL,G.F. FABIAN CONSTRUCTION,"9,010,591.78","9,010,591.78",06/14/2022,01/29/2023,Region IV-A,22DN0124,G.F. FABIAN CONSTRUCTION,RIZAL
"Construction of Flood Control Structure along Labong River, Brgy. Villarosa (Phase 5), Licab, Nueva Ecija",NUEVA ECIJA,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES) / SOLFIO P. JACINTO CONSTRUCTION INC.,"96,500,000.00","96,500,000.00",04/05/2022,01/29/2023,Region III,22CE0126,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES) / SOLFIO P. JACINTO CONSTRUCTION INC.,NUEVA ECIJA
"Improvement of Waterway and Flood Control Structure along Balagtas River (Tributary) Brgy. Panginay to Wawa, Balagtas, Bulacan",BULACAN,R2A CONSTRUCTION & TRADING CORPORATION,"69,479,572.96","69,479,572.96",04/05/2022,01/29/2023,Region III,22CC0271,R2A CONSTRUCTION & TRADING CORPORATION,BULACAN
"Construction of Flood Control Structure, Barangay Hinukay, Baliuag, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"49,499,675.98","49,499,675.98",04/05/2022,01/29/2023,Region III,22CC0293,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),BULACAN
"Construction of Manila North Road Drainage Tributary Outfall, Longos- Calumpit Section, Malolos City, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,"47,518,704.12","47,518,704.12",04/05/2022,01/29/2023,Region III,22CC0277,TOPNOTCH CATALYST BUILDERS INC.,BULACAN
"Construction of Cagayan River Flood Control Project, Brgy. District 2, Reina Mercedes, Isabela",ISABELA,CAMBERWELL CONSTRUCTION AND SUPPLIES / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"95,052,496.94","95,052,496.94",03/28/2022,01/29/2023,Region II,22BG0054,CAMBERWELL CONSTRUCTION AND SUPPLIES / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Maintenance/Rehabilitation of Flood Control Structures, Brgy. Sta. Lucia, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,"72,548,700.00","72,548,700.00",02/16/2022,01/29/2023,National Capital Region,22OF0027,LE BRON CONSTRUCTION,QUEZON CITY
"Construction of Lower Sakakang Flood Control Structure, Sta. 117+620 - Sta. 118+070 (R.S.), Sta. 117+830 - Sta. 118+180 (L.S.), Bacarri, Paracelis, Mountain Province",MOUNTAIN PROVINCE,MG SAMIDAN CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,"81,060,000.00","81,060,000.00",02/24/2022,01/29/2023,Cordillera Administrative Region,22PM0017,MG SAMIDAN CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,MOUNTAIN PROVINCE
"Construction of Sula Seawall, Barangay Sula, Vinzons, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"49,214,258.35","49,214,258.35",03/22/2022,01/28/2023,Region V,22FC0142,BRENTMIN ROOFING ENTERPRISE,CAMARINES NORTE
"Bank Improvement along Angat River, Sta. 0 + 290 to Sta. 0 + 530, Sabang Section, Baliuag, Bulacan",BULACAN,DMLC BUILDERS,"65,273,430.18","65,273,430.18",04/04/2022,01/28/2023,Region III,22CC0249,DMLC BUILDERS,BULACAN
"Construction of Flood Control Structure and Improvement of Waterways at Brgy. Piel, Baliuag, Bulacan",BULACAN,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,999,769.37","48,999,769.37",04/05/2022,01/28/2023,Region III,22CC0257,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,BULACAN
"Construction of Flood Control Structure, Brgy. Tangos, Baliuag, Bulacan",BULACAN,STAR WILLIAM CONSTRUCTION,"49,499,816.61","49,499,816.61",04/04/2022,01/28/2023,Region III,22CC0258,STAR WILLIAM CONSTRUCTION,BULACAN
"Rehabilitation of Balagtas River Control Structure, Sta. 00+000 to Sta. 00+392, Brgy. Pulong Gubat, Balagtas, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","48,997,800.81","48,997,800.81",04/04/2022,01/28/2023,Region III,22CC0264,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",BULACAN
"Construction of Drainage Canal along Gov. Pascual to River, Orani, Bataan",BATAAN,AS MACHA CONSTRUCTION AND TRADING,"14,849,989.69","14,849,989.69",04/04/2022,01/28/2023,Region III,22CA0057,AS MACHA CONSTRUCTION AND TRADING,BATAAN
"Construction of Revetment, Kabacan River Flood Control (Sta. 29+286 - Sta. 29+671 right bank, Matalam, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"46,723,426.11","46,723,426.11",03/15/2022,01/27/2023,Region XII,22MI0009,JARGON CONSTRUCTION & SUPPLY,COTABATO (NORTH COTABATO)
"Construction of River Bank Protection along Baclayon River (Phase 1), Labanon Section, Barangay Basud, Bacacay, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"19,600,000.00","19,600,000.00",08/25/2022,01/27/2023,Region V,22FA0061,3DIAMONDS CONSTRUCTION CORPORATION,ALBAY
"Construction of River Bank Protection along Baclayon River (Phase 2), Labanon Section, Barangay Basud, Bacacay, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"14,700,000.00","14,700,000.00",08/25/2022,01/27/2023,Region V,22FA0061,3DIAMONDS CONSTRUCTION CORPORATION,ALBAY
"Rehabilitation of Balagtas River Control Structure, Sta. 02+272 to Sta. 02+664, Brgy. Dalig, Balagtas, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","48,999,277.98","48,999,277.98",04/05/2022,01/27/2023,Region III,22CC0278,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",BULACAN
"Construction of Riverbank Protection along Bocaue River Brgy. Taal Bocaue, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"57,899,155.37","57,899,155.37",04/04/2022,01/27/2023,Region III,22CC0213,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),BULACAN
"Construction of Riverbank Protection along Bocaue River Brgy. Caingin Bocaue, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","57,899,074.35","57,899,074.35",04/04/2022,01/27/2023,Region III,22CC0215,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",BULACAN
"Construction of Riverwall (Phase 2), Barangay Dampalit, Malabon City",MALABON CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"49,500,000.00","49,500,000.00",02/15/2022,01/27/2023,National Capital Region,22OA0047,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,MALABON CITY
"Rechanneling of Baay River, Lagangilang Section, Lagangilang, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,"96,497,135.00","96,497,135.00",07/20/2022,01/27/2023,Cordillera Administrative Region,22PA0187,ST. TIMOTHY CONSTRUCTION CORPORATION,ABRA
"Construction of Flood Control Structure along Poblacion, Sta. 11 + 100 - Sta. 11 + 600, Lagayan, Abra",ABRA,739 BUILDERS,"48,997,999.80","48,997,999.80",07/25/2022,01/27/2023,Cordillera Administrative Region,22PA0212,739 BUILDERS,ABRA
"Construction of Flood Control Structure and Improvement of Waterways at Brgy. Sulivan, Baliuag, Bulacan",BULACAN,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,999,405.84","48,999,405.84",04/05/2022,01/26/2023,Region III,22CC0182,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,BULACAN
"Construction of Flood Control Structure along Quiaoit River (Phase I), Brgy. Mabaleng, Batac City, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,"77,199,998.73","77,199,998.73",04/12/2022,01/26/2023,Region I,22A00173,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,ILOCOS NORTE
"Construction of Flood Control Structure along Quiaoit River (Phase II), Brgy. Mabaleng, Batac City, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,"77,199,998.15","77,199,998.15",04/12/2022,01/26/2023,Region I,22A00174,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,ILOCOS NORTE
"Construction of Abang Flood Control, Barangay Abang, Bucay, Abra",ABRA,739 BUILDERS,"49,496,925.65","49,496,925.65",06/15/2022,01/26/2023,Cordillera Administrative Region,22PA0126,739 BUILDERS,ABRA
"Construction of Abang Flood Control Structure (Phase 2), Barangay Abang, Bucay, Abra",ABRA,739 BUILDERS,"49,497,477.49","49,497,477.49",06/15/2022,01/26/2023,Cordillera Administrative Region,22PA0127,739 BUILDERS,ABRA
"Construction of Kalaneg River Control, Maitum, Sarangani",SARANGANI,"JDRC CONSTRUCTION & SUPPLIES, CORP.","86,849,785.36","86,849,785.36",02/24/2022,01/25/2023,Region XII,22ME0072,"JDRC CONSTRUCTION & SUPPLIES, CORP.",SARANGANI
"Construction of Canturing Flood Control (Canturing-Nasaug Section), Maasin City, Southern Leyte",SOUTHERN LEYTE,JQD CONSTRUCTION & GENERAL SERVICES,"24,715,027.70","24,715,027.70",04/06/2022,01/25/2023,Region VIII,22IL0080,JQD CONSTRUCTION & GENERAL SERVICES,SOUTHERN LEYTE
"Construction of Revetment Wall along Tangalan River, Brgy. Baybay, Tangalan, Aklan",AKLAN,ST. TIMOTHY CONSTRUCTION CORPORATION,"86,849,991.48","86,849,991.48",02/18/2022,01/25/2023,Region VI,22GA0023,ST. TIMOTHY CONSTRUCTION CORPORATION,AKLAN
"Improvement of Balagtas River Waterways with Flood Control Structure, Sta. 0 + 000 to Sta. 0 + 540, Longos, Balagtas, Bulacan",BULACAN,AZUL BUILDERS / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),"86,849,456.87","86,849,456.87",04/01/2022,01/25/2023,Region III,22CC0263,AZUL BUILDERS / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),BULACAN
"Construction of Revetment at Pandam River, Phase 2, Orion, Bataan",BATAAN,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION / R.R. ENCABO CONSTRUCTORS INCORPORATED (FORMERLY RR,"34,650,000.00","34,650,000.00",04/08/2022,01/25/2023,Region III,22CB0086,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION / R.R. ENCABO CONSTRUCTORS INCORPORATED (FORMERLY RR,BATAAN
"Construction of Flood Mitigation Structure along Caraga River (Cut-Off Channel), Sta. 0+000 - Sta. 0+750, Caraga, Davao Oriental",DAVAO ORIENTAL,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,"92,989,850.86","92,989,850.86",02/21/2022,01/24/2023,Region XI,22LF0031,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,DAVAO ORIENTAL
"Construction of Flood Control Structure, Brgy. Pinangumhan, Biliran, Biliran",BILIRAN,"EZJONES CONSTRUCTION INC. / ROVING PREMIER CONTRACTORS, INC.","96,499,745.52","96,499,745.52",06/13/2022,01/24/2023,Region VIII,22I00074,"EZJONES CONSTRUCTION INC. / ROVING PREMIER CONTRACTORS, INC.",BILIRAN
"Improvement of Riverbank along Parale River, Sta. 0 + 000 - Sta. 0 + 700, Malabuyoc, Cebu",CEBU,QM BUILDERS,"96,499,958.77","96,499,958.77",03/24/2022,01/24/2023,Region VII,22HO0048,QM BUILDERS,CEBU
"Improvement of Riverbank, Sta. 0 + 000 - Sta. 0 + 651, Madredijos, Alegria, Cebu",CEBU,QM BUILDERS,"96,499,992.71","96,499,992.71",03/24/2022,01/24/2023,Region VII,22HO0050,QM BUILDERS,CEBU
"Construction of Flood Mitigation Structure at Langoyon River, Barangay Mangga, Sta. 0+607 - Sta. 0+916, Tuburan, Cebu",CEBU,VEN RAY CONSTRUCTION CORPORATION,"48,049,193.60","48,049,193.60",05/24/2022,01/24/2023,Region VII,22HF0040,VEN RAY CONSTRUCTION CORPORATION,CEBU
"Construction of Quinale ""A"" River Flood Mitigation Structure (Polangui and Libon Section), Polangui, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,"192,707,498.05","192,707,498.05",03/21/2022,01/24/2023,Region V,22F00020,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,ALBAY
"Construction of Flood Control Structure, Poblacion, San Luis, Batangas",BATANGAS,TCSC CORP.,"78,404,898.22","78,404,898.22",03/31/2022,01/24/2023,Region IV-A,22DE0091,TCSC CORP.,BATANGAS
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package I), San Jose, Tarlac",TARLAC,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,"94,381,900.00","94,381,900.00",03/31/2022,01/24/2023,Region III,22CJ0210,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,TARLAC
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package J), San Jose, Tarlac",TARLAC,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,"94,372,250.00","94,372,250.00",03/31/2022,01/24/2023,Region III,22CJ0218,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,TARLAC
"Construction of Flood Control Structure along Andulan River, Brgy. Capitan Tomas, Rosales, Pangasinan",PANGASINAN,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,"47,531,186.52","47,531,186.52",03/08/2022,01/24/2023,Region I,22AI0063,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,PANGASINAN
"Construction of Pet-Okan Naybaliw Creek Flood Control, Duacan, Kabayan, Benguet",BENGUET,AROBOAN CONSTRUCTION AND SUPPLY,"9,793,460.31","9,793,460.31",07/26/2022,01/24/2023,Cordillera Administrative Region,22PE0071,AROBOAN CONSTRUCTION AND SUPPLY,BENGUET
"Construction of Flood Control Structure, Canan - Poblacion, Barangay Canan and Poblacion, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,"96,497,900.00","96,497,900.00",05/24/2022,01/24/2023,Cordillera Administrative Region,22PA0078,ST. TIMOTHY CONSTRUCTION CORPORATION,ABRA
"Construction of Revetment along Kabacan River (Alegria Section) Brgy. Alegria, President Roxas, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,999,217.01","48,999,217.01",03/24/2022,01/23/2023,Region XII,22MC0016,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,COTABATO (NORTH COTABATO)
"Construction of Revetment along Manat River leading to Agusan River at Inambatan Bridge (Upstream), Brgy. Olaycon, Monkayo, Davao de Oro",DAVAO DE ORO,TYER ONE CONSTRUCTION CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"67,549,125.73","67,549,125.73",02/23/2022,01/23/2023,Region XI,22LA0052,TYER ONE CONSTRUCTION CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DE ORO
"Construction of Tide Protection Embankment, Brgy Silad, Villaba, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,"48,754,999.65","48,754,999.65",03/25/2022,01/23/2023,Region VIII,22IE0062,RJIR ENTERPRISES CORPORATION,LEYTE
"Construction of Tide Protection Embankment, Silad Port (Right Side), Brgy. Silad, Villaba, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,"48,019,999.80","48,019,999.80",03/25/2022,01/23/2023,Region VIII,22IE0063,RJIR ENTERPRISES CORPORATION,LEYTE
"Construction of Salogon River Flood Control Structure, Sta. 0+000 - Sta. 0+520 Right Bank, Sta. 0+360 - Sta. 0+480 Left Bank, Brooke's Point, Palawan",PALAWAN,L. B. LEONCIO TRADING AND CONSTRUCTION CORPORATION (FORMERLY: L.B. LEONCIO TRADING & CONSTRUCTION),"39,199,997.00","39,199,997.00",05/25/2022,01/23/2023,Region IV-B,22EF0026,L. B. LEONCIO TRADING AND CONSTRUCTION CORPORATION (FORMERLY: L.B. LEONCIO TRADING & CONSTRUCTION),PALAWAN
"Rehabilitation of Slope Protection along Mariveles Zigzag Road, FAB, Mariveles, Bataan",BATAAN,A.T.P. CONSTRUCTION,"24,500,000.00","24,500,000.00",04/08/2022,01/23/2023,Region III,22CB0073,A.T.P. CONSTRUCTION,BATAAN
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+229), Brgy. Camunatan, City of Ilagan, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"43,898,080.00","43,898,080.00",05/18/2022,01/23/2023,Region II,22BE0025,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Construction of Riverbank Protection Structure along Barangay Pantal, Dagupan City, Pangasinan",PANGASINAN,ARCINUE COMM'L CORPORATION,"48,995,746.66","48,995,746.66",02/18/2022,01/23/2023,Region I,22AH0056,ARCINUE COMM'L CORPORATION,PANGASINAN
"Construction of Box Culvert along M. Naval St. from Badeo 5 to F. Pascual St., Navotas City",NAVOTAS CITY,CATTECORYLL CONSTRUCTION & TRADING CORP,"24,499,335.42","24,499,335.42",02/14/2022,01/23/2023,National Capital Region,22OA0017,CATTECORYLL CONSTRUCTION & TRADING CORP,NAVOTAS CITY
"Construction of Flood Mitigation Structure along Lanca-Luban-Cabuaya Creek, Sta. 0+000 - Sta. 1+800, Mati City, Davao Oriental",DAVAO ORIENTAL,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,"94,474,095.60","94,474,095.60",02/28/2022,01/22/2023,Region XI,22LG0046,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,DAVAO ORIENTAL
"Construction of Saug River Flood Control, Asuncion, Davao del Norte",DAVAO DEL NORTE,"R.A. PAHATI CONST. & SUPPLY, INC.","86,850,000.00","86,850,000.00",02/22/2022,01/22/2023,Region XI,22LC0039,"R.A. PAHATI CONST. & SUPPLY, INC.",DAVAO DEL NORTE
"Construction/ Rehabilitation of Padang River Flood Mitigation Structure, Brgy. Buyuan and Brgy. Padang, Legazpi City, Albay",ALBAY,MAKAPA CORPORATION,"47,123,519.50","47,123,519.50",03/21/2022,01/22/2023,Region V,22F00106,MAKAPA CORPORATION,ALBAY
"Construction of Drainage System at San Antonio de Padua Village, Barangay Putik, Zamboanga City, Zamboanga del Sur",ZAMBOANGA DEL SUR,SHERKAD CONSTRUCTION,"4,948,757.89","4,948,757.89",03/24/2022,01/22/2023,Region IX,22JA0040,SHERKAD CONSTRUCTION,ZAMBOANGA DEL SUR
"Improvement of Waterway along Cainta River, Brgy. Sto. Domingo, Cainta, Rizal",RIZAL,5-1 CONSTRUCTION CORPORATION,"19,592,817.96","19,592,817.96",07/27/2022,01/22/2023,Region IV-A,22DN0157,5-1 CONSTRUCTION CORPORATION,RIZAL
"Construction of Bancagan-Pagala Flood Control, Bucay, Abra",ABRA,739 BUILDERS,"48,998,000.00","48,998,000.00",07/20/2022,01/22/2023,Cordillera Administrative Region,22PA0224,739 BUILDERS,ABRA
"Construction of Binalbagan River Bank Slope Protection (Upstream of Binalbagan Bagacay Bridge) Along Hinigaran-Isabela Rd, Negros Occidental (Phase III Right Bank)",NEGROS OCCIDENTAL,R.A. CONSTRUCTION DEVELOPMENT CORPORATION (FORMERLY: R.A. CONSTRUCTION & GENERAL MERCHANDISE) / JAIME B. CHING ENTERPRISES,"96,499,995.37","96,499,995.37",02/17/2022,01/21/2023,Negros Island Region,22GL0030,R.A. CONSTRUCTION DEVELOPMENT CORPORATION (FORMERLY: R.A. CONSTRUCTION & GENERAL MERCHANDISE) / JAIME B. CHING ENTERPRISES,NEGROS OCCIDENTAL
"Construction of Flood Mitigation Structure, Barangay Quipia River, Jovellar, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"4,949,357.65","4,949,357.65",08/15/2022,01/21/2023,Region V,22FO0105,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,ALBAY
"Construction of Seawall, Catanauan, Quezon",QUEZON,RAPID FOREMOST CONST. CO.,"96,500,000.00","96,500,000.00",04/04/2022,01/21/2023,Region IV-A,22DM0110,RAPID FOREMOST CONST. CO.,QUEZON
"Construction of Revetment along Tinagacan-Buayan River (Phase 3), Brgy. Tinagacan, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"91,629,683.47","91,629,683.47",02/24/2022,01/20/2023,Region XII,22MB0024,J.G. ORANZA CONSTRUCTION,SOUTH COTABATO
"Construction of Shore Protection, Old Road Sagkahan, Tacloban City",LEYTE,LEDA CONSTRUCTION INCORPORATED,"48,013,198.20","48,013,198.20",02/17/2022,01/20/2023,Region VIII,22IM0018,LEDA CONSTRUCTION INCORPORATED,LEYTE
"Repair/Rehabilitation/Reconstruction of Flood Control along Manjuyod River (Upstream) Brgy Sta Monica, Manjuyod, Negros Oriental",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"39,907,110.08","39,907,110.08",06/06/2022,01/20/2023,Negros Island Region,22HJ0098,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,NEGROS ORIENTAL
"Rehabilitation of Soa River Flood Control (Downstream), Soa, Malinao, Albay",ALBAY,WEARR ENTERPRISES & DEVELOPMENT CORP.,"47,040,000.00","47,040,000.00",08/05/2022,01/20/2023,Region V,22FA0011,WEARR ENTERPRISES & DEVELOPMENT CORP.,ALBAY
"Construction of Road Dike along Julian River, Brgy. Malagasang I-F, East Side, Imus, Cavite",CAVITE,HAUSLAND CONSTRUCTION,"90,710,000.00","90,710,000.00",02/28/2022,01/20/2023,Region IV-A,22DF0031,HAUSLAND CONSTRUCTION,CAVITE
"Construction of Flood Mitigation Facility/Drainage System along Bued River (Tributaries) Sta. 0+190 - Sta. 0+640, Baguio City",BENGUET,GOLDRICH CONSTRUCTION & TRADING,"49,000,000.00","49,000,000.00",04/10/2022,01/20/2023,Cordillera Administrative Region,22PD0018,GOLDRICH CONSTRUCTION & TRADING,BENGUET
"Construction of Flood Mitigation Facility/Drainage System along Bued River (Tributaries), Sta. 0+030 - Sta. 0+530, Baguio City",BENGUET,GOLDRICH CONSTRUCTION & TRADING,"49,000,000.00","49,000,000.00",03/21/2022,01/20/2023,Cordillera Administrative Region,22PD0019,GOLDRICH CONSTRUCTION & TRADING,BENGUET
"Construction of Sinalang Flood Control, Barangays Namarabar & Riang, Peñarrubia, Abra",ABRA,739 BUILDERS,"49,497,153.28","49,497,153.28",05/24/2022,01/20/2023,Cordillera Administrative Region,22PA0095,739 BUILDERS,ABRA
"Construction of Dike along Sadpudon Creek, Carmen, Davao del Norte",DAVAO DEL NORTE,RUPLINO SEISMUNDO CONSTRUCTION CORPORATION (FORMERLY: R.R. SEISMUNDO CONSTRUCTION & SUPPLY),"19,600,000.00","19,600,000.00",03/25/2022,01/19/2023,Region XI,22LC0098,RUPLINO SEISMUNDO CONSTRUCTION CORPORATION (FORMERLY: R.R. SEISMUNDO CONSTRUCTION & SUPPLY),DAVAO DEL NORTE
"Construction of Revetment, Downstream and Upstream of San Miguel Bridge (B01432MN) along Maramag-Maradugao Road, Bukidnon",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,"67,550,000.00","67,550,000.00",02/24/2022,01/19/2023,Region X,22KB0073,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,BUKIDNON
"Construction of Guintubhan River Bank Slope (Upstream of Guintubhan Br.) along Binalbagan - Isabela Road (Right Bank, Phase II), Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,498,863.82","96,498,863.82",05/19/2022,01/19/2023,Negros Island Region,22GL0093,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),NEGROS OCCIDENTAL
"Construction of Slope Protection, Brgy. Mahabang Parang (Package 2), Angono, Rizal",RIZAL,D.R. ROBLES CONSTRUCTION,"9,402,844.07","9,402,844.07",07/04/2022,01/19/2023,Region IV-A,22DN0133,D.R. ROBLES CONSTRUCTION,RIZAL
"Construction of Revetment along Manila Bay, Brgy. San Salcedo, Noveleta, Cavite",CAVITE,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","89,745,000.00","89,745,000.00",02/28/2022,01/19/2023,Region IV-A,22DF0065,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",CAVITE
